الملف,الرابط
**index.html**,[تحميل](sandbox:///mnt/agents/output/github-site/index.html)
**logo.png**,[تحميل](sandbox:///mnt/agents/output/logo.png)
**work1.jpg**,[تحميل](sandbox:///mnt/agents/output/work1.jpg)
**work2.jpg**,[تحميل](sandbox:///mnt/agents/output/work2.jpg)
**work3.jpg**,[تحميل](sandbox:///mnt/agents/output/work3.jpg)
**work4.jpg**,[تحميل](sandbox:///mnt/agents/output/work4.jpg)
**work5.jpg**,[تحميل](sandbox:///mnt/agents/output/work5.jpg)
**work6.jpg**,[تحميل](sandbox:///mnt/agents/output/work6.jpg)
**work7.jpg**,[تحميل](sandbox:///mnt/agents/output/work7.jpg)
**work8.jpg**,[تحميل](sandbox:///mnt/agents/output/work8.jpg)
**work9.jpg**,[تحميل](sandbox:///mnt/agents/output/work9.jpg)
